Date,Time,Frequency,PI,Signal,Stereo,TA,TP,PTY,ECC,PS,Radiotext
-,-,102.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,RADIO,BEACH PARK
-,-,88.90 MHz,----,0.0 dBμV, , , ,Pop Music,--,JANGA,DEIRO FM
-,-,95.50 MHz,----,0.0 dBμV, , , ,Pop Music,--,O POVO,O POVO
-,-,105.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,ATLANTIC,ATLANTIC
-,-,96.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,ALECE FM,O Parlam
-,-,97.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,ANTENA 1,ANTENA 1
-,-,87.10 MHz,----,0.0 dBμV, , , ,Pop Music,--,CEARA FM,CEARA FM
-,-,90.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,FORT FM,FORT FM
-,-,103.30 MHz,----,0.0 dBμV, , , ,Pop Music,--,SENADO,SENADO
-,-,103.90 MHz,----,0.0 dBμV, , , ,Pop Music,--,TEMPO FM,TEMPO FM
-,-,104.30 MHz,----,0.0 dBμV, , , ,Pop Music,--,EXPRESSO,EXPRESSO
-,-,88.30 MHz,----,0.0 dBμV, , , ,Religion,--,JERUSALE,RADIO JERUSALEM FM
-,-,91.70 MHz,----,0.0 dBμV, , , ,Religion,--,SHALOM,SHALOM
-,-,92.10 MHz,----,0.0 dBμV, , , ,Religion,--,RADIO,EFRAIM
-,-,92.50 MHz,----,0.0 dBμV, , , ,Pop Music,--,VERDINHA,VERDINHA
-,-,92.90 MHz,----,0.0 dBμV, , , ,Pop Music,--,JP NEWS,JP NEWS
-,-,93.50 MHz,----,0.0 dBμV, , , ,Religion,--,CANAA FM,CANAA FM
-,-,93.90 MHz,----,0.0 dBμV, , , ,Pop Music,--,FM 93,FM 93
-,-,94.30 MHz,----,0.0 dBμV, , , ,Pop Music,--,SOL FM,SOL FM
-,-,94.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,JOVEM,PAN
-,-,96.10 MHz,----,0.0 dBμV, , , ,Religion,--,DOMBOSCO,DOMBOSCO
-,-,97.10 MHz,----,0.0 dBμV, , , ,Religion,--,RADIO,MARIA BRASIL
-,-,98.30 MHz,----,0.0 dBμV, , , ,Religion,--,LIDER FM,Religion
-,-,99.10 MHz,----,0.0 dBμV, , , ,Pop Music,--,CIDADE,CIDADE
-,-,99.90 MHz,----,0.0 dBμV, , , ,Religion,--,REDE,ALELUIA 99.9 FM
-,-,100.90 MHz,----,0.0 dBμV, , , ,Religion,--,DEUS E AMOR,FM
-,-,101.30 MHz,----,0.0 dBμV, , , ,Religion,--,CRISTA,CRISTA
-,-,101.70 MHz,----,0.0 dBμV, , , ,Pop Music,--,BANDNEWS,BANDNEWS
-,-,102.30 MHz,----,0.0 dBμV, , , ,Religion,--,TEMPLO,CENTRAL FM
-,-,105.10 MHz,----,0.0 dBμV, , , ,Religion,--,105.1MHZ,105.1MHZ
-,-,106.50 MHz,----,0.0 dBμV, , , ,Pop Music,--,NOVABRAS,NOVABRAS
-,-,107.50 MHz,----,0.0 dBμV, , , ,Pop Music,--,MIX FM,MIX FM
-,-,107.90 MHz,----,0.0 dBμV, , , ,Pop Music,--,107.9MHz,107.9MHz
-,-,95.10 MHz,----,0.0 dBμV, , , ,Religion,--,LOGOS FM,LOGOS FM
-,-,103.50 MHz,----,0.0 dBμV, , , ,Religion,--,SHALOM,SHALOM
